GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
event-sphere,id.ac.ui.cs.advprog.eventsphere,EventSphereApplication,5,3,0,0,2,1,1,1,1,1
event-sphere,id.ac.ui.cs.advprog.eventsphere.auth.model,User,3,0,0,0,1,0,1,0,1,0
